commonName,botanical,type,zMin,zMax,sun,nativeNA,invasiveWatch,category
Eastern arborvitae,Thuja occidentalis,evergreen,2,7,full,true,false,conifer
Emerald Green arborvitae,Thuja occidentalis 'Smaragd',evergreen,3,7,full,true,false,conifer
Green Giant arborvitae,Thuja x 'Green Giant',evergreen,5,8,full,false,false,conifer
Western redcedar,Thuja plicata,evergreen,5,7,full,true,false,conifer
Eastern redcedar,Juniperus virginiana,evergreen,2,9,full,true,false,conifer
Rocky Mountain juniper,Juniperus scopulorum,evergreen,3,7,full,true,false,conifer
Creeping juniper,Juniperus horizontalis,evergreen,3,9,full,true,false,groundcover-conifer
Blue Star juniper,Juniperus squamata 'Blue Star',evergreen,4,8,full,false,false,dwarf-conifer
Chinese juniper,Juniperus chinensis,evergreen,4,9,full,false,false,conifer
Hollywood juniper,Juniperus chinensis 'Torulosa',evergreen,4,9,full,false,false,conifer
Shore juniper,Juniperus conferta,evergreen,6,9,full,false,false,groundcover-conifer
Savin juniper,Juniperus sabina,evergreen,3,7,full,false,false,conifer
Common juniper,Juniperus communis,evergreen,2,8,full,true,false,conifer
Singleseed juniper,Juniperus squamata,evergreen,4,8,full,false,false,conifer
Skyrocket juniper,Juniperus scopulorum 'Skyrocket',evergreen,3,7,full,true,false,conifer
Norway spruce,Picea abies,evergreen,2,7,full,false,false,conifer
Colorado blue spruce,Picea pungens,evergreen,2,7,full,true,false,conifer
White spruce,Picea glauca,evergreen,2,6,full,true,false,conifer
Dwarf Alberta spruce,Picea glauca 'Conica',evergreen,2,6,full,true,false,dwarf-conifer
Serbian spruce,Picea omorika,evergreen,4,7,full,false,false,conifer
Bird's Nest spruce,Picea abies 'Nidiformis',evergreen,3,7,full,false,false,dwarf-conifer
Oriental spruce,Picea orientalis,evergreen,4,7,full,false,false,conifer
Eastern white pine,Pinus strobus,evergreen,3,8,full,true,false,conifer
Mugo pine,Pinus mugo,evergreen,2,7,full,false,false,dwarf-conifer
Austrian pine,Pinus nigra,evergreen,4,7,full,false,false,conifer
Scots pine,Pinus sylvestris,evergreen,3,7,full,false,false,conifer
Japanese black pine,Pinus thunbergii,evergreen,5,8,full,false,false,conifer
Lacebark pine,Pinus bungeana,evergreen,4,8,full,false,false,conifer
Ponderosa pine,Pinus ponderosa,evergreen,3,7,full,true,false,conifer
Limber pine,Pinus flexilis,evergreen,4,7,full,true,false,conifer
Bristlecone pine,Pinus aristata,evergreen,3,7,full,true,false,conifer
Japanese white pine,Pinus parviflora,evergreen,5,7,full,false,false,conifer
Loblolly pine,Pinus taeda,evergreen,6,9,full,true,false,conifer
Balsam fir,Abies balsamea,evergreen,3,6,full,true,false,conifer
Fraser fir,Abies fraseri,evergreen,4,7,full,true,false,conifer
White fir,Abies concolor,evergreen,3,7,full,true,false,conifer
Korean fir,Abies koreana,evergreen,5,7,full,false,false,conifer
Douglas fir,Pseudotsuga menziesii,evergreen,4,6,full,true,false,conifer
Canadian hemlock,Tsuga canadensis,evergreen,3,7,part,true,false,conifer
Carolina hemlock,Tsuga caroliniana,evergreen,5,7,part,true,false,conifer
Hinoki falsecypress,Chamaecyparis obtusa,evergreen,4,8,full,false,false,conifer
Dwarf Hinoki falsecypress,Chamaecyparis obtusa 'Nana Gracilis',evergreen,4,8,full,false,false,dwarf-conifer
Japanese falsecypress,Chamaecyparis pisifera,evergreen,4,8,full,false,false,conifer
Golden Mop falsecypress,Chamaecyparis pisifera 'Filifera Aurea',evergreen,4,8,full,false,false,dwarf-conifer
Atlantic white cedar,Chamaecyparis thyoides,evergreen,4,8,full,true,false,conifer
Japanese yew,Taxus cuspidata,evergreen,4,7,any,false,false,conifer-shrub
Anglojap yew,Taxus x media,evergreen,4,7,any,false,false,conifer-shrub
Hicks yew,Taxus x media 'Hicksii',evergreen,4,7,any,false,false,conifer-shrub
Canada yew,Taxus canadensis,evergreen,2,6,shade,true,false,conifer-shrub
Common boxwood,Buxus sempervirens,evergreen,5,8,part,false,false,shrub
Littleleaf boxwood,Buxus microphylla,evergreen,6,9,part,false,false,shrub
Korean boxwood,Buxus microphylla var. koreana,evergreen,4,9,part,false,false,shrub
Green Velvet boxwood,Buxus 'Green Velvet',evergreen,4,9,part,false,false,shrub
Wintergreen boxwood,Buxus microphylla 'Wintergreen',evergreen,4,9,part,false,false,shrub
American holly,Ilex opaca,evergreen,5,9,part,true,false,broadleaf-evergreen
English holly,Ilex aquifolium,evergreen,6,9,part,false,true,broadleaf-evergreen
Japanese holly,Ilex crenata,evergreen,5,8,part,false,false,broadleaf-evergreen
Sky Pencil holly,Ilex crenata 'Sky Pencil',evergreen,5,8,part,false,false,broadleaf-evergreen
Inkberry holly,Ilex glabra,evergreen,4,9,full,true,false,broadleaf-evergreen
Yaupon holly,Ilex vomitoria,evergreen,7,9,full,true,false,broadleaf-evergreen
Blue Princess holly,Ilex x meserveae 'Blue Princess',evergreen,5,8,part,false,false,broadleaf-evergreen
Nellie Stevens holly,Ilex x 'Nellie R. Stevens',evergreen,6,9,part,false,false,broadleaf-evergreen
Chinese holly,Ilex cornuta,evergreen,7,9,part,false,false,broadleaf-evergreen
