commonName,botanical,type,zMin,zMax,sun,nativeNA,invasiveWatch,category
Feather reed grass,Calamagrostis x acutiflora 'Karl Foerster',grass,4,9,full,false,false,ornamental-grass
Switchgrass,Panicum virgatum,grass,4,9,full,true,false,ornamental-grass
Heavy Metal switchgrass,Panicum virgatum 'Heavy Metal',grass,4,9,full,true,false,ornamental-grass
Shenandoah switchgrass,Panicum virgatum 'Shenandoah',grass,4,9,full,true,false,ornamental-grass
Northwind switchgrass,Panicum virgatum 'Northwind',grass,4,9,full,true,false,ornamental-grass
Little bluestem,Schizachyrium scoparium,grass,3,9,full,true,false,ornamental-grass
Standing Ovation little bluestem,Schizachyrium scoparium 'Standing Ovation',grass,3,9,full,true,false,ornamental-grass
The Blues little bluestem,Schizachyrium scoparium 'The Blues',grass,3,9,full,true,false,ornamental-grass
Maiden grass,Miscanthus sinensis,grass,5,9,full,false,true,ornamental-grass
Morning Light maiden grass,Miscanthus sinensis 'Morning Light',grass,5,9,full,false,true,ornamental-grass
Zebra grass,Miscanthus sinensis 'Zebrinus',grass,5,9,full,false,true,ornamental-grass
Giant Chinese silver grass,Miscanthus x giganteus,grass,4,9,full,false,true,ornamental-grass
Dwarf fountain grass,Pennisetum alopecuroides 'Hameln',grass,5,9,full,false,true,ornamental-grass
Purple fountain grass,Cenchrus setaceus 'Rubrum',grass,9,11,full,false,true,ornamental-grass
Oriental fountain grass,Pennisetum orientale,grass,6,9,full,false,false,ornamental-grass
Japanese forest grass,Hakonechloa macra,grass,5,9,shade,false,false,ornamental-grass
Aureola Japanese forest grass,Hakonechloa macra 'Aureola',grass,5,9,shade,false,false,ornamental-grass
All Gold Japanese forest grass,Hakonechloa macra 'All Gold',grass,5,9,shade,false,false,ornamental-grass
Blue fescue,Festuca glauca,grass,4,8,full,false,false,ornamental-grass
Elijah Blue fescue,Festuca glauca 'Elijah Blue',grass,4,8,full,false,false,ornamental-grass
Idaho fescue,Festuca idahoensis,grass,4,8,full,true,false,ornamental-grass
Prairie dropseed,Sporobolus heterolepis,grass,3,9,full,true,false,ornamental-grass
Big bluestem,Andropogon gerardii,grass,4,9,full,true,false,ornamental-grass
Blackhawks big bluestem,Andropogon gerardii 'Blackhawks',grass,3,9,full,true,false,ornamental-grass
Indian grass,Sorghastrum nutans,grass,4,9,full,true,false,ornamental-grass
Blue grama,Bouteloua gracilis,grass,3,10,full,true,false,ornamental-grass
Blonde Ambition blue grama,Bouteloua gracilis 'Blonde Ambition',grass,3,10,full,true,false,ornamental-grass
Sideoats grama,Bouteloua curtipendula,grass,4,9,full,true,false,ornamental-grass
Pink muhly grass,Muhlenbergia capillaris,grass,6,10,full,true,false,ornamental-grass
Lindheimer muhly,Muhlenbergia lindheimeri,grass,7,11,full,true,false,ornamental-grass
Tufted hair grass,Deschampsia cespitosa,grass,4,9,part,true,false,ornamental-grass
Northern sea oats,Chasmanthium latifolium,grass,3,8,part,true,false,ornamental-grass
Blue moor grass,Sesleria caerulea,grass,4,8,full,false,false,ornamental-grass
Autumn moor grass,Sesleria autumnalis,grass,5,8,full,false,false,ornamental-grass
Cogon grass,Imperata cylindrica,grass,5,9,full,false,true,ornamental-grass
Japanese blood grass,Imperata cylindrica 'Rubra',grass,5,9,full,false,true,ornamental-grass
Reed canary grass,Phalaris arundinacea,grass,4,9,part,false,true,ornamental-grass
Ribbon grass,Phalaris arundinacea 'Picta',grass,4,9,part,false,true,ornamental-grass
Pampas grass,Cortaderia selloana,grass,7,11,full,false,true,ornamental-grass
