commonName,botanical,type,zMin,zMax,sun,nativeNA,invasiveWatch,category
Butterfly Milkweed,Asclepias tuberosa,perennial,3,9,full,true,false,native-perennial
Swamp Milkweed,Asclepias incarnata,perennial,3,9,full,true,false,native-perennial
Common Milkweed,Asclepias syriaca,perennial,3,9,full,true,true,native-perennial
Showy Milkweed,Asclepias speciosa,perennial,3,9,full,true,false,native-perennial
Whorled Milkweed,Asclepias verticillata,perennial,4,9,full,true,false,native-perennial
Purple Milkweed,Asclepias purpurascens,perennial,4,8,part,true,false,native-perennial
Green Antelopehorn Milkweed,Asclepias viridis,perennial,5,9,full,true,false,native-perennial
Narrowleaf Milkweed,Asclepias fascicularis,perennial,6,10,full,true,false,native-perennial
Heartleaf Milkweed,Asclepias cordifolia,perennial,6,9,full,true,false,native-perennial
Purple Coneflower,Echinacea purpurea,perennial,3,8,full,true,false,native-perennial
Pale Purple Coneflower,Echinacea pallida,perennial,3,8,full,true,false,native-perennial
Narrowleaf Coneflower,Echinacea angustifolia,perennial,3,8,full,true,false,native-perennial
Yellow Coneflower,Echinacea paradoxa,perennial,4,8,full,true,false,native-perennial
Tennessee Coneflower,Echinacea tennesseensis,perennial,4,8,full,true,false,native-perennial
Black-Eyed Susan,Rudbeckia hirta,perennial,3,9,full,true,false,native-perennial
Orange Coneflower,Rudbeckia fulgida,perennial,3,9,full,true,false,native-perennial
Sweet Coneflower,Rudbeckia subtomentosa,perennial,4,8,full,true,false,native-perennial
Brown-Eyed Susan,Rudbeckia triloba,perennial,4,8,full,true,false,native-perennial
Giant Coneflower,Rudbeckia maxima,perennial,4,9,full,true,false,native-perennial
Cutleaf Coneflower,Rudbeckia laciniata,perennial,3,9,part,true,false,native-perennial
Scarlet Beebalm,Monarda didyma,perennial,4,9,full,true,false,native-perennial
Wild Bergamot,Monarda fistulosa,perennial,3,9,full,true,false,native-perennial
Spotted Beebalm,Monarda punctata,perennial,3,8,full,true,false,native-perennial
Lemon Beebalm,Monarda citriodora,perennial,5,10,full,true,false,native-perennial
Eastern Beebalm,Monarda bradburiana,perennial,5,8,full,true,false,native-perennial
Dense Blazing Star,Liatris spicata,perennial,3,9,full,true,false,native-perennial
Rough Blazing Star,Liatris aspera,perennial,3,8,full,true,false,native-perennial
Prairie Blazing Star,Liatris pycnostachya,perennial,3,9,full,true,false,native-perennial
Scaly Blazing Star,Liatris squarrosa,perennial,4,9,full,true,false,native-perennial
Meadow Blazing Star,Liatris ligulistylis,perennial,3,7,full,true,false,native-perennial
Wild Blue Indigo,Baptisia australis,perennial,3,9,full,true,false,native-perennial
White Wild Indigo,Baptisia alba,perennial,4,8,full,true,false,native-perennial
Yellow Wild Indigo,Baptisia sphaerocarpa,perennial,5,9,full,true,false,native-perennial
Cream Wild Indigo,Baptisia bracteata,perennial,4,8,full,true,false,native-perennial
Foxglove Beardtongue,Penstemon digitalis,perennial,3,8,full,true,false,native-perennial
Hairy Beardtongue,Penstemon hirsutus,perennial,3,8,full,true,false,native-perennial
Large Beardtongue,Penstemon grandiflorus,perennial,3,7,full,true,false,native-perennial
Rocky Mountain Penstemon,Penstemon strictus,perennial,3,9,full,true,false,native-perennial
Firecracker Penstemon,Penstemon eatonii,perennial,4,9,full,true,false,native-perennial
Pineleaf Penstemon,Penstemon pinifolius,perennial,4,10,full,true,false,native-perennial
Palmer's Penstemon,Penstemon palmeri,perennial,4,9,full,true,false,native-perennial
Showy Penstemon,Penstemon spectabilis,perennial,7,10,full,true,false,native-perennial
Smooth Penstemon,Penstemon laevigatus,perennial,5,8,full,true,false,native-perennial
Spotted Joe-Pye Weed,Eutrochium maculatum,perennial,3,8,part,true,false,native-perennial
Sweet Joe-Pye Weed,Eutrochium purpureum,perennial,4,9,part,true,false,native-perennial
Hollow Joe-Pye Weed,Eutrochium fistulosum,perennial,4,9,part,true,false,native-perennial
New York Ironweed,Vernonia noveboracensis,perennial,5,9,full,true,false,native-perennial
Giant Ironweed,Vernonia gigantea,perennial,4,9,full,true,false,native-perennial
Prairie Ironweed,Vernonia fasciculata,perennial,3,7,full,true,false,native-perennial
Western Ironweed,Vernonia baldwinii,perennial,4,8,full,true,false,native-perennial
Maximilian Sunflower,Helianthus maximiliani,perennial,3,9,full,true,true,native-perennial
Western Sunflower,Helianthus occidentalis,perennial,4,8,full,true,false,native-perennial
Woodland Sunflower,Helianthus divaricatus,perennial,3,8,part,true,false,native-perennial
Swamp Sunflower,Helianthus angustifolius,perennial,5,9,full,true,false,native-perennial
Ashy Sunflower,Helianthus mollis,perennial,4,8,full,true,true,native-perennial
Jerusalem Artichoke,Helianthus tuberosus,perennial,3,9,full,true,true,native-perennial
Lanceleaf Coreopsis,Coreopsis lanceolata,perennial,3,9,full,true,false,native-perennial
Threadleaf Coreopsis,Coreopsis verticillata,perennial,4,9,full,true,false,native-perennial
Tall Tickseed,Coreopsis tripteris,perennial,3,8,full,true,false,native-perennial
Plains Coreopsis,Coreopsis tinctoria,perennial,2,11,full,true,false,native-perennial
Pink Tickseed,Coreopsis rosea,perennial,4,8,full,true,false,native-perennial
Largeflower Tickseed,Coreopsis grandiflora,perennial,4,9,full,true,false,native-perennial
