commonName,botanical,type,zMin,zMax,sun,nativeNA,invasiveWatch,category
Blue Angel Hosta,Hosta 'Blue Angel',perennial,3,8,shade,false,false,shade-perennial
Sum and Substance Hosta,Hosta 'Sum and Substance',perennial,3,9,part,false,false,shade-perennial
Patriot Hosta,Hosta 'Patriot',perennial,3,8,shade,false,false,shade-perennial
Frances Williams Hosta,Hosta 'Frances Williams',perennial,3,8,part,false,false,shade-perennial
Guacamole Hosta,Hosta 'Guacamole',perennial,3,9,part,false,false,shade-perennial
Empress Wu Hosta,Hosta 'Empress Wu',perennial,3,9,shade,false,false,shade-perennial
Halcyon Hosta,Hosta 'Halcyon',perennial,3,9,shade,false,false,shade-perennial
Fragrant Plantain Lily,Hosta plantaginea,perennial,3,8,part,false,false,shade-perennial
Siebold Hosta,Hosta sieboldiana,perennial,3,8,shade,false,false,shade-perennial
Palace Purple Coral Bells,Heuchera 'Palace Purple',perennial,4,9,part,false,false,shade-perennial
Caramel Coral Bells,Heuchera 'Caramel',perennial,4,9,part,false,false,shade-perennial
Obsidian Coral Bells,Heuchera 'Obsidian',perennial,4,9,part,false,false,shade-perennial
Marmalade Coral Bells,Heuchera 'Marmalade',perennial,4,9,part,false,false,shade-perennial
Hairy Alumroot,Heuchera villosa,perennial,3,8,part,true,false,native-perennial
American Alumroot,Heuchera americana,perennial,4,9,part,true,false,native-perennial
Coral Bells,Heuchera sanguinea,perennial,3,8,part,true,false,native-perennial
Autumn Bride Coral Bells,Heuchera villosa 'Autumn Bride',perennial,3,8,part,true,false,native-perennial
Stoplight Foamy Bells,Heucherella 'Stoplight',perennial,4,9,part,false,false,shade-perennial
Sweet Tea Foamy Bells,Heucherella 'Sweet Tea',perennial,4,9,part,false,false,shade-perennial
Alabama Sunrise Foamy Bells,Heucherella 'Alabama Sunrise',perennial,4,9,part,false,false,shade-perennial
Foamflower,Tiarella cordifolia,perennial,3,9,shade,true,false,native-perennial
Wherry's Foamflower,Tiarella wherryi,perennial,3,8,shade,true,false,native-perennial
Spring Symphony Foamflower,Tiarella 'Spring Symphony',perennial,4,9,shade,true,false,native-perennial
Siberian Bugloss,Brunnera macrophylla,perennial,3,8,part,false,false,shade-perennial
Jack Frost Bugloss,Brunnera macrophylla 'Jack Frost',perennial,3,8,part,false,false,shade-perennial
Looking Glass Bugloss,Brunnera macrophylla 'Looking Glass',perennial,3,8,part,false,false,shade-perennial
Chinese Astilbe,Astilbe chinensis,perennial,4,8,part,false,false,shade-perennial
Pumila Dwarf Astilbe,Astilbe chinensis 'Pumila',perennial,4,8,part,false,false,shade-perennial
Visions Astilbe,Astilbe chinensis 'Visions',perennial,4,9,part,false,false,shade-perennial
Fanal Astilbe,Astilbe 'Fanal',perennial,3,8,part,false,false,shade-perennial
Japanese Astilbe,Astilbe japonica,perennial,4,8,part,false,false,shade-perennial
Star Astilbe,Astilbe simplicifolia,perennial,4,8,part,false,false,shade-perennial
Bethlehem Sage,Pulmonaria saccharata,perennial,3,8,shade,false,false,shade-perennial
Mrs Moon Lungwort,Pulmonaria 'Mrs. Moon',perennial,3,8,shade,false,false,shade-perennial
Raspberry Splash Lungwort,Pulmonaria 'Raspberry Splash',perennial,3,8,shade,false,false,shade-perennial
Common Lungwort,Pulmonaria officinalis,perennial,3,8,shade,false,false,shade-perennial
Fringed Bleeding Heart,Dicentra eximia,perennial,3,9,part,true,false,native-perennial
Western Bleeding Heart,Dicentra formosa,perennial,4,8,part,true,false,native-perennial
King of Hearts Bleeding Heart,Dicentra 'King of Hearts',perennial,3,9,part,true,false,native-perennial
Common Bleeding Heart,Lamprocapnos spectabilis,perennial,3,9,part,false,false,shade-perennial
Gold Heart Bleeding Heart,Lamprocapnos spectabilis 'Gold Heart',perennial,3,9,part,false,false,shade-perennial
Fragrant Solomon's Seal,Polygonatum odoratum,perennial,3,8,shade,false,false,shade-perennial
Variegated Solomon's Seal,Polygonatum odoratum 'Variegatum',perennial,3,8,shade,false,false,shade-perennial
Smooth Solomon's Seal,Polygonatum biflorum,perennial,3,7,shade,true,false,native-perennial
Great Solomon's Seal,Polygonatum commutatum,perennial,3,7,shade,true,false,native-perennial
Toad Lily,Tricyrtis hirta,perennial,4,9,shade,false,false,shade-perennial
Formosa Toad Lily,Tricyrtis formosana,perennial,4,9,shade,false,false,shade-perennial
Miyazaki Toad Lily,Tricyrtis 'Miyazaki',perennial,4,8,shade,false,false,shade-perennial
Tojen Toad Lily,Tricyrtis 'Tojen',perennial,4,9,shade,false,false,shade-perennial
Lenten Rose,Helleborus orientalis,perennial,4,9,part,false,false,shade-perennial
Christmas Rose,Helleborus niger,perennial,3,8,part,false,false,shade-perennial
Hybrid Hellebore,Helleborus x hybridus,perennial,4,9,part,false,false,shade-perennial
Bearsfoot Hellebore,Helleborus foetidus,perennial,5,9,part,false,false,shade-perennial
Corsican Hellebore,Helleborus argutifolius,perennial,6,9,part,false,false,shade-perennial
Bishop's Hat,Epimedium grandiflorum,perennial,5,8,shade,false,false,shade-perennial
Red Barrenwort,Epimedium x rubrum,perennial,4,8,shade,false,false,shade-perennial
Persian Barrenwort,Epimedium x versicolor 'Sulphureum',perennial,5,9,shade,false,false,shade-perennial
Yellow Barrenwort,Epimedium x perralchicum 'Frohnleiten',perennial,5,9,shade,false,false,shade-perennial
Eastern Red Columbine,Aquilegia canadensis,perennial,3,8,part,true,false,native-perennial
