commonName,botanical,type,zMin,zMax,sun,nativeNA,invasiveWatch,category
Arrowwood Viburnum,Viburnum dentatum,shrub,3,8,part,true,false,shrub
American Cranberrybush Viburnum,Viburnum trilobum,shrub,2,7,full,true,false,shrub
Mapleleaf Viburnum,Viburnum acerifolium,shrub,3,8,shade,true,false,shrub
Nannyberry,Viburnum lentago,shrub,2,8,part,true,false,shrub
Blackhaw Viburnum,Viburnum prunifolium,shrub,3,9,part,true,false,shrub
Witherod Viburnum,Viburnum nudum,shrub,5,9,part,true,false,shrub
Koreanspice Viburnum,Viburnum carlesii,shrub,4,7,full,false,false,shrub
Burkwood Viburnum,Viburnum x burkwoodii,shrub,4,8,full,false,false,shrub
Doublefile Viburnum,Viburnum plicatum f. tomentosum,shrub,5,8,part,false,false,shrub
Judd Viburnum,Viburnum x juddii,shrub,4,8,full,false,false,shrub
European Cranberrybush,Viburnum opulus,shrub,3,8,full,false,true,shrub
Linden Viburnum,Viburnum dilatatum,shrub,5,8,full,false,true,shrub
Leatherleaf Viburnum,Viburnum rhytidophyllum,shrub,5,8,part,false,false,shrub
Bigleaf Hydrangea,Hydrangea macrophylla,shrub,5,9,part,false,false,shrub
Panicle Hydrangea,Hydrangea paniculata,shrub,3,8,full,false,false,shrub
Smooth Hydrangea,Hydrangea arborescens,shrub,3,9,part,true,false,shrub
Oakleaf Hydrangea,Hydrangea quercifolia,shrub,5,9,part,true,false,shrub
Mountain Hydrangea,Hydrangea serrata,shrub,6,9,part,false,false,shrub
Annabelle Hydrangea,Hydrangea arborescens 'Annabelle',shrub,3,9,part,true,false,shrub
Limelight Hydrangea,Hydrangea paniculata 'Limelight',shrub,3,8,full,false,false,shrub
Endless Summer Hydrangea,Hydrangea macrophylla 'Bailmer',shrub,4,9,part,false,false,shrub
Japanese Spirea,Spiraea japonica,shrub,4,9,full,false,true,shrub
Goldflame Spirea,Spiraea japonica 'Goldflame',shrub,4,9,full,false,true,shrub
Bridalwreath Spirea,Spiraea prunifolia,shrub,4,8,full,false,false,shrub
Vanhoutte Spirea,Spiraea x vanhouttei,shrub,3,8,full,false,false,shrub
