commonName,botanical,type,zMin,zMax,sun,nativeNA,invasiveWatch,category
Red Maple,Acer rubrum,tree,3,9,full,true,false,shade-tree
Sugar Maple,Acer saccharum,tree,3,8,full,true,false,shade-tree
Silver Maple,Acer saccharinum,tree,3,9,full,true,false,shade-tree
Japanese Maple,Acer palmatum,tree,5,8,part,false,false,ornamental-tree
Paperbark Maple,Acer griseum,tree,4,8,part,false,false,ornamental-tree
Freeman Maple,Acer x freemanii,tree,3,8,full,true,false,shade-tree
Black Maple,Acer nigrum,tree,3,8,full,true,false,shade-tree
Hedge Maple,Acer campestre,tree,5,8,full,false,false,small-tree
Trident Maple,Acer buergerianum,tree,5,9,full,false,false,small-tree
Bigleaf Maple,Acer macrophyllum,tree,6,7,full,true,false,shade-tree
Vine Maple,Acer circinatum,tree,5,8,part,true,false,small-tree
Tatarian Maple,Acer tataricum,tree,3,8,full,false,false,small-tree
Boxelder,Acer negundo,tree,2,9,full,true,false,shade-tree
Norway Maple,Acer platanoides,tree,3,7,full,false,true,shade-tree
Amur Maple,Acer ginnala,tree,2,8,full,false,true,small-tree
Northern Red Oak,Quercus rubra,tree,3,8,full,true,false,shade-tree
White Oak,Quercus alba,tree,3,9,full,true,false,shade-tree
Pin Oak,Quercus palustris,tree,4,8,full,true,false,shade-tree
Swamp White Oak,Quercus bicolor,tree,3,8,full,true,false,shade-tree
Bur Oak,Quercus macrocarpa,tree,3,8,full,true,false,shade-tree
Scarlet Oak,Quercus coccinea,tree,4,9,full,true,false,shade-tree
Willow Oak,Quercus phellos,tree,5,9,full,true,false,shade-tree
Shumard Oak,Quercus shumardii,tree,5,9,full,true,false,shade-tree
Chestnut Oak,Quercus montana,tree,4,8,full,true,false,shade-tree
Live Oak,Quercus virginiana,tree,8,10,full,true,false,shade-tree
Chinkapin Oak,Quercus muehlenbergii,tree,3,7,full,true,false,shade-tree
Southern Red Oak,Quercus falcata,tree,6,9,full,true,false,shade-tree
Black Oak,Quercus velutina,tree,3,9,full,true,false,shade-tree
Post Oak,Quercus stellata,tree,5,9,full,true,false,shade-tree
Sawtooth Oak,Quercus acutissima,tree,5,9,full,false,false,shade-tree
River Birch,Betula nigra,tree,4,9,full,true,false,ornamental-tree
Paper Birch,Betula papyrifera,tree,2,7,full,true,false,ornamental-tree
Sweet Birch,Betula lenta,tree,3,7,full,true,false,ornamental-tree
Yellow Birch,Betula alleghaniensis,tree,3,7,part,true,false,shade-tree
Gray Birch,Betula populifolia,tree,3,6,full,true,false,small-tree
European White Birch,Betula pendula,tree,2,7,full,false,false,ornamental-tree
Eastern Redbud,Cercis canadensis,tree,4,9,part,true,false,flowering-tree
Western Redbud,Cercis occidentalis,tree,7,9,full,true,false,flowering-tree
Chinese Redbud,Cercis chinensis,tree,6,9,part,false,false,flowering-tree
Flowering Dogwood,Cornus florida,tree,5,9,part,true,false,flowering-tree
Kousa Dogwood,Cornus kousa,tree,5,8,part,false,false,flowering-tree
Cornelian Cherry Dogwood,Cornus mas,tree,4,8,part,false,false,flowering-tree
Pacific Dogwood,Cornus nuttallii,tree,7,9,part,true,false,flowering-tree
Pagoda Dogwood,Cornus alternifolia,tree,3,7,part,true,false,small-tree
Downy Serviceberry,Amelanchier arborea,tree,4,9,part,true,false,flowering-tree
Allegheny Serviceberry,Amelanchier laevis,tree,4,8,part,true,false,flowering-tree
Apple Serviceberry,Amelanchier x grandiflora,tree,4,9,part,true,false,flowering-tree
Canadian Serviceberry,Amelanchier canadensis,tree,4,8,part,true,false,small-tree
Saskatoon Serviceberry,Amelanchier alnifolia,tree,2,7,full,true,false,small-tree
Star Magnolia,Magnolia stellata,tree,4,8,full,false,false,flowering-tree
Sweetbay Magnolia,Magnolia virginiana,tree,5,10,part,true,false,flowering-tree
Saucer Magnolia,Magnolia x soulangeana,tree,4,9,full,false,false,flowering-tree
Southern Magnolia,Magnolia grandiflora,tree,7,9,full,true,false,flowering-tree
Cucumbertree Magnolia,Magnolia acuminata,tree,4,8,full,true,false,shade-tree
Lily Magnolia,Magnolia liliiflora,tree,6,9,full,false,false,flowering-tree
Bigleaf Magnolia,Magnolia macrophylla,tree,5,8,part,true,false,ornamental-tree
Sargent Crabapple,Malus sargentii,tree,4,8,full,false,false,flowering-tree
Japanese Flowering Crabapple,Malus floribunda,tree,4,8,full,false,false,flowering-tree
Tea Crabapple,Malus hupehensis,tree,4,8,full,false,false,flowering-tree
Prairifire Crabapple,Malus 'Prairifire',tree,4,8,full,false,false,flowering-tree
